--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
08-20 20:35:55.100 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView;--->setInnerView(Landroid/view/View;)V
08-20 20:35:55.100 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;--->setChecked(Z)V
08-20 20:35:55.100 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView;--->setOnDeleteListener(Lcom/notriddle/budget/DeleteView$OnDeleteListener;)V
08-20 20:35:55.100 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:35:55.100 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.100 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getItemViewType(I)I
08-20 20:35:55.100 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/TACGridView;--->onMeasure(II)V
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getCount()I
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView;--->getInnerView()Landroid/view/View;
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;--->bindView(Landroid/view/View;Landroid/content/Context;Landroid/database/Cursor;)V
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView;--->setInnerView(Landroid/view/View;)V
