--------- beginning of /dev/log/main 
--------- beginning of /dev/log/system 
08-20 20:45:10.220 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getCount()I
08-20 20:45:10.220 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesActivity$1;--->onPostExecute(Ljava/lang/Object;)V
08-20 20:45:10.220 D/M_InsDal( 5880): Lcom/notriddle/budget/SQLiteLoader;--->loadInBackground()Landroid/database/Cursor;
08-20 20:45:10.220 D/M_InsDal( 5880): Lcom/notriddle/budget/SQLiteLoader;--->loadInBackground()Landroid/database/Cursor;
08-20 20:45:10.220 D/M_InsDal( 5880): Lcom/notriddle/budget/SQLiteLoader;--->loadInBackground()Landroid/database/Cursor;
08-20 20:45:10.230 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesActivity;--->onCreateOptionsMenu(Landroid/view/Menu;)Z
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/TACGridView;--->onMeasure(II)V
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getCount()I
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;---><init>(Landroid/content/Context;)V
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->init(Landroid/content/Context;)V
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView$1;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView$2;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView$3;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setSwipeBackgroundResource(I)V
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->newView(Landroid/content/Context;Landroid/database/Cursor;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:45:10.240 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;---><init>(Landroid/content/Context;Landroid/util/AttributeSet;)V
08-20 20:45:10.250 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:45:10.250 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:45:10.250 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter$CardContents;---><init>(Landroid/view/View;)V
08-20 20:45:10.250 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:45:10.260 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:45:10.260 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:45:10.260 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:45:10.260 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->bindView(Landroid/view/View;Landroid/content/Context;Landroid/database/Cursor;)V
08-20 20:45:10.260 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:45:10.260 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:45:10.260 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:45:10.260 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:45:10.260 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setInnerView(Landroid/view/View;)V
08-20 20:45:10.260 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->setChecked(Z)V
08-20 20:45:10.260 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setOnDeleteListener(Lcom/notriddle/budget/DeleteView$OnDeleteListener;)V
08-20 20:45:10.260 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:45:10.260 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.270 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemViewType(I)I
08-20 20:45:10.270 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.270 D/M_InsDal( 5880): Lcom/notriddle/budget/TACGridView;--->onMeasure(II)V
08-20 20:45:10.270 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getCount()I
08-20 20:45:10.270 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:45:10.270 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.270 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->getInnerView()Landroid/view/View;
08-20 20:45:10.270 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->bindView(Landroid/view/View;Landroid/content/Context;Landroid/database/Cursor;)V
08-20 20:45:10.270 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:45:10.270 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:45:10.270 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setInnerView(Landroid/view/View;)V
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->setChecked(Z)V
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemViewType(I)I
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->getInnerView()Landroid/view/View;
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->bindView(Landroid/view/View;Landroid/content/Context;Landroid/database/Cursor;)V
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:45:10.280 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:45:10.290 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setInnerView(Landroid/view/View;)V
08-20 20:45:10.290 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->setChecked(Z)V
08-20 20:45:10.290 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:45:10.290 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.290 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:45:10.290 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.290 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemViewType(I)I
08-20 20:45:10.290 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.290 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:45:10.290 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;---><init>(Landroid/content/Context;)V
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->init(Landroid/content/Context;)V
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView$1;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView$2;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView$3;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setSwipeBackgroundResource(I)V
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->newView(Landroid/content/Context;Landroid/database/Cursor;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;---><init>(Landroid/content/Context;Landroid/util/AttributeSet;)V
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:45:10.300 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter$CardContents;---><init>(Landroid/view/View;)V
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->bindView(Landroid/view/View;Landroid/content/Context;Landroid/database/Cursor;)V
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setInnerView(Landroid/view/View;)V
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->setChecked(Z)V
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setOnDeleteListener(Lcom/notriddle/budget/DeleteView$OnDeleteListener;)V
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemViewType(I)I
08-20 20:45:10.310 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;---><init>(Landroid/content/Context;)V
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->init(Landroid/content/Context;)V
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView$1;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView$2;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView$3;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setSwipeBackgroundResource(I)V
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->newView(Landroid/content/Context;Landroid/database/Cursor;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:45:10.320 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;---><init>(Landroid/content/Context;Landroid/util/AttributeSet;)V
08-20 20:45:10.330 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:45:10.330 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter$CardContents;---><init>(Landroid/view/View;)V
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->bindView(Landroid/view/View;Landroid/content/Context;Landroid/database/Cursor;)V
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setInnerView(Landroid/view/View;)V
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->setChecked(Z)V
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setOnDeleteListener(Lcom/notriddle/budget/DeleteView$OnDeleteListener;)V
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:45:10.340 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.350 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemViewType(I)I
08-20 20:45:10.350 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.350 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:45:10.350 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:45:10.350 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:45:10.350 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;---><init>(Landroid/content/Context;)V
08-20 20:45:10.350 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->init(Landroid/content/Context;)V
08-20 20:45:10.350 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView$1;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:45:10.360 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView$2;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:45:10.360 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView$3;---><init>(Lcom/notriddle/budget/DeleteView;)V
08-20 20:45:10.360 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setSwipeBackgroundResource(I)V
08-20 20:45:10.360 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:45:10.360 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.360 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.360 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->newView(Landroid/content/Context;Landroid/database/Cursor;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:45:10.360 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;---><init>(Landroid/content/Context;Landroid/util/AttributeSet;)V
08-20 20:45:10.360 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:45:10.360 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter$CardContents;---><init>(Landroid/view/View;)V
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->bindView(Landroid/view/View;Landroid/content/Context;Landroid/database/Cursor;)V
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/EnvelopesAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setInnerView(Landroid/view/View;)V
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->setChecked(Z)V
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteView;--->setOnDeleteListener(Lcom/notriddle/budget/DeleteView$OnDeleteListener;)V
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getItemViewType(I)I
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:45:10.380 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:45:10.430 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:45:10.430 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:45:10.430 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:45:10.430 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:45:10.430 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:45:10.430 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:45:10.430 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:45:10.430 D/M_InsDal( 5880): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:45:10.450 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopeDetailsActivity;--->loadEnvelopeData(Landroid/database/Cursor;)V
08-20 20:45:10.460 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getDeletedId()J
08-20 20:45:10.460 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
08-20 20:45:10.460 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:45:10.460 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getCount()I
08-20 20:45:10.470 D/M_InsDal( 5880): Lcom/notriddle/budget/EnvelopesActivity;--->loadEnvelopesData(Landroid/database/Cursor;)V
08-20 20:45:10.470 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getDeletedId()J
08-20 20:45:10.470 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getDeletedId()J
08-20 20:45:10.480 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getDeletedId()J
08-20 20:45:10.480 D/M_InsDal( 5880): Lcom/notriddle/budget/DeleteAdapter;--->getDeletedId()J
08-20 20:45:10.480 D/M_InsDal( 5880): Lcom/notriddle/budget/EditMoney;--->toColoredMoney(Landroid/content/Context;J)Ljava/lang/CharSequence;
